,Release,Artist,Format,Tracks,Country/Date,Label,Catalog#,Barcode,Tagger,Country,Date,MB-Name,Comment
,"▶Greetings From Asbury Park, N.J. (Pitman pressing)",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""year"":1973,""month"":1,""day"":5},""country"":{""editsPending"":false,""id"":222,""name"":""United States"",""comment"":"""",""primary_code"":""US"",""iso_3166_3_codes"":[],""iso_3166_1_codes"":[""US""],""last_updated"":""2013-06-15T18:06:39Z"",""ended"":false,""entityType"":""area"",""typeID"":1,""iso_3166_2_codes"":[],""country_code"":""US"",""begin_date"":null,""end_date"":null,""gid"":""489ce91b-6658-3307-9877-795b68554c98""}}]}US1973-01-05","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",KC 31903,[none],"{""entityType"":""release"",""gid"":""3ce46b79-5e8c-470a-bcdc-45f301d09f60""}",United States (US),1973-01-05,"Greetings From Asbury Park, N.J.",Pitman pressing
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""day"":5,""month"":1,""year"":1973},""country"":{""editsPending"":false,""id"":222,""name"":""United States"",""primary_code"":""US"",""comment"":"""",""iso_3166_3_codes"":[],""iso_3166_1_codes"":[""US""],""last_updated"":""2013-06-15T18:06:39Z"",""ended"":false,""entityType"":""area"",""typeID"":1,""iso_3166_2_codes"":[],""country_code"":""US"",""begin_date"":null,""end_date"":null,""gid"":""489ce91b-6658-3307-9877-795b68554c98""}}]}US1973-01-05","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",PC 31903,074643190312,"{""entityType"":""release"",""gid"":""4918b02c-c0ce-4d03-88f1-2eba7924a4ee""}",United States (US),1973-01-05,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""country"":{""ended"":false,""last_updated"":""2013-05-16T11:06:19Z"",""iso_3166_1_codes"":[""GB""],""editsPending"":false,""iso_3166_3_codes"":[],""primary_code"":""GB"",""comment"":"""",""id"":221,""name"":""United Kingdom"",""begin_date"":null,""gid"":""8a754a16-0027-3a29-b6d7-2b40ea0481ed"",""end_date"":null,""entityType"":""area"",""country_code"":""GB"",""typeID"":1,""iso_3166_2_codes"":[]},""date"":{""day"":9,""year"":1973,""month"":3}}]}GB1973-03-09",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),"65480, S 65480",[none],"{""entityType"":""release"",""gid"":""6e4fe7b0-6795-44a4-bdc9-94dbf60a46fc""}",United Kingdom (GB),1973-03-09,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""day"":null,""year"":1973,""month"":3},""country"":{""begin_date"":null,""end_date"":null,""gid"":""8a754a16-0027-3a29-b6d7-2b40ea0481ed"",""entityType"":""area"",""country_code"":""GB"",""typeID"":1,""iso_3166_2_codes"":[],""ended"":false,""last_updated"":""2013-05-16T11:06:19Z"",""iso_3166_1_codes"":[""GB""],""editsPending"":false,""iso_3166_3_codes"":[],""name"":""United Kingdom"",""id"":221,""primary_code"":""GB"",""comment"":""""}}]}GB1973-03",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),"CBS S 65480, S 65480",[none],"{""entityType"":""release"",""gid"":""28137427-cc90-41b9-b474-a1d5fe3703c6""}",United Kingdom (GB),1973-03,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""day"":null,""year"":1973,""month"":null},""country"":{""typeID"":1,""iso_3166_2_codes"":[],""country_code"":""AU"",""primaryAlias"":""Australia"",""entityType"":""area"",""gid"":""106e0bec-b638-3b37-b731-f53d507dc00e"",""end_date"":null,""begin_date"":null,""primary_code"":""AU"",""comment"":"""",""name"":""Australia"",""id"":13,""iso_3166_3_codes"":[],""editsPending"":false,""iso_3166_1_codes"":[""AU""],""last_updated"":""2013-05-27T12:20:27Z"",""ended"":false}}]}AU1973",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),SBP 234758,[none],"{""entityType"":""release"",""gid"":""bbfabca0-ef57-428f-860d-eece549c0a99""}",Australia (AU),1973,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,Cassette,9,"{""events"":[{""date"":{""day"":null,""month"":null,""year"":1973},""country"":{""ended"":false,""iso_3166_1_codes"":[""BR""],""last_updated"":""2013-05-27T13:41:42Z"",""editsPending"":false,""iso_3166_3_codes"":[],""id"":30,""name"":""Brazil"",""primary_code"":""BR"",""comment"":"""",""begin_date"":null,""end_date"":null,""gid"":""f45b47f8-5796-386e-b172-6c31b009a5d8"",""entityType"":""area"",""primaryAlias"":""Brazil"",""country_code"":""BR"",""typeID"":1,""iso_3166_2_codes"":[]}}]}BR1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",16645,[none],"{""entityType"":""release"",""gid"":""02a3c67f-d415-4a79-bd26-5432bd44466e""}",Brazil (BR),1973,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J. (Canada, version 1)",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""country"":{""iso_3166_1_codes"":[""CA""],""last_updated"":""2013-05-27T13:15:52Z"",""ended"":false,""primary_code"":""CA"",""comment"":"""",""name"":""Canada"",""id"":38,""iso_3166_3_codes"":[],""editsPending"":false,""gid"":""71bbafaa-e825-3e15-8ca9-017dcad1748b"",""end_date"":null,""begin_date"":null,""iso_3166_2_codes"":[],""typeID"":1,""country_code"":""CA"",""primaryAlias"":""Canada"",""entityType"":""area""},""date"":{""month"":null,""year"":1973,""day"":null}}]}CA1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",KC 31903,[none],"{""entityType"":""release"",""gid"":""d93ba287-33ce-4935-aeba-f8a0135e024e""}",Canada (CA),1973,"Greetings From Asbury Park, N.J.","Canada, version 1"
,"▶Greetings From Asbury Park, N.J. (Canada, version 1)",Bruce Springsteen,Cassette,9,"{""events"":[{""date"":{""day"":null,""month"":null,""year"":1973},""country"":{""iso_3166_3_codes"":[],""id"":38,""name"":""Canada"",""primary_code"":""CA"",""comment"":"""",""editsPending"":false,""ended"":false,""last_updated"":""2013-05-27T13:15:52Z"",""iso_3166_1_codes"":[""CA""],""country_code"":""CA"",""iso_3166_2_codes"":[],""typeID"":1,""entityType"":""area"",""primaryAlias"":""Canada"",""end_date"":null,""gid"":""71bbafaa-e825-3e15-8ca9-017dcad1748b"",""begin_date"":null}}]}CA1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",WPCT 31903,[none],"{""entityType"":""release"",""gid"":""4e9e2b69-75e3-458b-9a4d-d42badf79205""}",Canada (CA),1973,"Greetings From Asbury Park, N.J.","Canada, version 1"
,"▶Greetings From Asbury Park, N.J. (Canada, version 4)",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""country"":{""gid"":""71bbafaa-e825-3e15-8ca9-017dcad1748b"",""end_date"":null,""begin_date"":null,""country_code"":""CA"",""typeID"":1,""iso_3166_2_codes"":[],""primaryAlias"":""Canada"",""entityType"":""area"",""ended"":false,""iso_3166_1_codes"":[""CA""],""last_updated"":""2013-05-27T13:15:52Z"",""iso_3166_3_codes"":[],""primary_code"":""CA"",""comment"":"""",""name"":""Canada"",""id"":38,""editsPending"":false},""date"":{""day"":null,""month"":null,""year"":1973}}]}CA1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",WPC 31903,[none],"{""entityType"":""release"",""gid"":""4d9397d6-f997-4c76-b429-377726e241b4""}",Canada (CA),1973,"Greetings From Asbury Park, N.J.","Canada, version 4"
,"▶Greetings From Asbury Park, N.J. (Canada, version 3)",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""month"":null,""year"":1973,""day"":null},""country"":{""ended"":false,""last_updated"":""2013-05-27T13:15:52Z"",""iso_3166_1_codes"":[""CA""],""editsPending"":false,""iso_3166_3_codes"":[],""id"":38,""name"":""Canada"",""primary_code"":""CA"",""comment"":"""",""begin_date"":null,""end_date"":null,""gid"":""71bbafaa-e825-3e15-8ca9-017dcad1748b"",""entityType"":""area"",""primaryAlias"":""Canada"",""country_code"":""CA"",""typeID"":1,""iso_3166_2_codes"":[]}}]}CA1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",PC 31903,[none],"{""entityType"":""release"",""gid"":""0c9f2267-be63-4169-8f85-f090585725b5""}",Canada (CA),1973,"Greetings From Asbury Park, N.J.","Canada, version 3"
